City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Alta,NO,69.9689,23.2717,22.24,75,100,4.61,overcast clouds
309,Aquin,HT,18.2833,-73.4,75.11,83,8,4.14,clear sky
310,Rumphi,MW,-11.0186,33.8575,63.12,95,100,1.19,overcast clouds
311,Narsaq,GL,60.9167,-46.05,14.22,69,97,10.42,overcast clouds
312,Swift Current,CA,50.2834,-107.8014,32.81,86,100,12.66,overcast clouds
313,Victoriaville,CA,46.0501,-71.9658,30.47,85,100,7.94,overcast clouds
314,Bengkulu,ID,-3.8004,102.2655,79.79,62,100,3.98,overcast clouds
315,Chokurdakh,RU,70.6333,147.9167,-18.8,98,100,11.99,overcast clouds
316,Karasjok,NO,69.4719,25.5112,21.31,95,100,6.98,overcast clouds
317,Port Lincoln,AU,-34.7333,135.8667,70.83,51,26,10.36,scattered clouds
318,Mariakani,KE,-3.8633,39.4736,70.93,97,88,3.94,overcast clouds
319,Broken Hill,AU,-31.95,141.4333,82.11,32,9,18.41,clear sky
320,Haag,NL,52.0767,4.2986,46.98,86,100,8.05,overcast clouds
321,Sarh,TD,9.1429,18.3923,66.11,32,0,0.0,clear sky
322,Mount Gambier,AU,-37.8333,140.7667,71.51,37,100,14.97,overcast clouds
323,Lakes Entrance,AU,-37.8811,147.981,70.16,66,100,10.2,moderate rain
324,Port-Gentil,GA,-0.7193,8.7815,81.09,80,100,9.44,overcast clouds
325,Rossosh,RU,51.1209,38.5116,30.96,83,99,13.38,overcast clouds
326,Port Blair,IN,11.6667,92.75,82.44,69,20,11.5,few clouds
327,Maunabo,PR,18.0072,-65.8993,75.7,88,41,11.27,scattered clouds
328,Ola,RU,59.5833,151.2833,7.14,67,95,3.49,overcast clouds
329,Gadsden,US,34.0143,-86.0066,48.0,75,0,0.0,clear sky
330,Luebo,CD,-5.35,21.4167,70.57,92,100,1.14,overcast clouds
331,Kaihua,CN,23.3687,104.28,57.87,71,47,12.21,scattered clouds
332,Zemio,CF,5.0314,25.1361,70.9,30,89,3.22,overcast clouds
333,Bautzen,DE,51.1833,14.4333,45.86,83,100,7.85,overcast clouds
334,Disna,BY,55.568,28.1971,35.31,89,100,14.0,overcast clouds
335,Ballina,AU,-28.8667,153.5667,86.18,57,0,9.22,clear sky
336,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,80,25,8.81,scattered clouds
337,Lima,PE,-12.0432,-77.0282,71.91,81,0,2.3,clear sky
338,Chengde,CN,40.9725,117.9361,34.5,29,3,1.07,clear sky
339,Tashir,AM,41.1207,44.2846,30.34,78,72,6.44,broken clouds
340,Athabasca,CA,54.7169,-113.2854,40.82,93,100,13.89,overcast clouds
341,Shiojiri,JP,36.1,137.9667,33.26,100,75,2.3,snow
342,Birecik,TR,37.0294,37.9903,38.25,93,74,2.86,broken clouds
343,Ramshir,IR,30.8946,49.4092,49.75,42,0,7.49,clear sky
